date;hour;track_name_clean;artist_name_clean;artists;track_name;danceability;energy;liveness;valence;main_artist_clean
2022-06-07;10;still don't know my name;labrinth;Labrinth;Still Don't Know My Name;0.316;0.63;0.205;0.313;labrinth
2022-06-07;10;material girl;madonna;Madonna;Material Girl;0.775;0.616;0.0511;0.98;madonna
2022-06-07;10;still don't know my name;labrinth;Labrinth;Still Don't Know My Name;0.316;0.63;0.205;0.313;labrinth
2022-06-07;10;2055;sleepy hallow;Sleepy Hallow;2055;0.829;0.512;0.12;0.638;sleepy hallow
2022-06-07;10;deja vu;olivia rodrigo;Olivia Rodrigo;deja vu;0.442;0.612;0.37;0.178;olivia rodrigo
2022-06-07;10;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-06-07;10;still don't know my name;labrinth;Labrinth;Still Don't Know My Name;0.316;0.63;0.205;0.313;labrinth
2022-06-07;11;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-06-07;11;no role modelz;j. cole;J. Cole;No Role Modelz;0.69;0.521;0.0534;0.494;j. cole
2022-06-07;13;face off;tech n9ne;"Tech N9ne;Joey Cool;King Iso;Dwayne Johnson";Face Off;0.693;0.935;0.179;0.391;tech n9ne
2022-06-07;14;still don't know my name;labrinth;Labrinth;Still Don't Know My Name;0.316;0.63;0.205;0.313;labrinth
2022-06-07;14;deja vu;olivia rodrigo;Olivia Rodrigo;deja vu;0.442;0.612;0.37;0.178;olivia rodrigo
2022-06-07;14;deja vu;olivia rodrigo;Olivia Rodrigo;deja vu;0.442;0.612;0.37;0.178;olivia rodrigo
2022-06-07;14;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-06-07;14;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-07;14;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-07;15;no role modelz;j. cole;J. Cole;No Role Modelz;0.69;0.521;0.0534;0.494;j. cole
2022-06-07;16;unstoppable;sia;Sia;Unstoppable;0.468;0.779;0.101;0.26;sia
2022-06-07;16;unstoppable;sia;Sia;Unstoppable;0.468;0.779;0.101;0.26;sia
2022-06-07;16;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-07;16;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-07;16;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-06-07;22;s&m;rihanna;Rihanna;S&M;0.769;0.684;0.0887;0.835;rihanna
2022-06-07;22;s&m;rihanna;Rihanna;S&M;0.769;0.684;0.0887;0.835;rihanna
2022-06-07;22;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
